query_id,excluded,n_candidates,n_necessary,n_discovered_ap
1,False,38,0,0
2,False,38,0,0
3,False,38,0,0
4,False,57,0,0
5,False,57,0,0
6,True,,,
7,False,76,0,0
8,False,76,0,0
9,False,76,0,0
10,False,38,0,0
11,False,38,0,0
12,False,38,0,0
13,False,57,0,0
14,False,57,0,0
15,False,57,0,0
16,False,76,0,0
17,False,76,0,0
18,True,,,
19,False,38,0,0
20,False,38,0,0
21,False,38,0,0
22,False,57,0,0
23,False,57,0,0
24,False,57,0,0
25,False,76,0,0
26,False,76,0,0
27,False,76,0,0
