query_id,n_candidates,n_necessary,n_discovered_ap,node_precision,node_recall,edge_precision,edge_recall
0,5120,28,28,1.000,1.000,1.000,1.000
1,5120,30,30,1.000,1.000,1.000,1.000
2,5120,28,28,1.000,1.000,1.000,1.000
3,5120,33,33,1.000,1.000,1.000,1.000
4,5120,27,27,1.000,1.000,1.000,1.000
5,5120,29,29,1.000,1.000,1.000,1.000
6,5120,28,28,1.000,1.000,1.000,1.000
7,5120,28,28,1.000,1.000,1.000,1.000
8,5120,30,30,1.000,1.000,1.000,1.000
9,5120,32,32,1.000,1.000,1.000,1.000
10,5120,28,28,1.000,1.000,1.000,1.000
11,5120,27,27,1.000,1.000,1.000,1.000
12,5120,35,35,1.000,1.000,1.000,1.000
13,5120,29,29,1.000,1.000,1.000,1.000
14,5120,28,28,1.000,1.000,1.000,1.000
15,5120,27,27,1.000,1.000,1.000,1.000
16,5120,28,28,1.000,1.000,1.000,1.000
17,5120,31,31,1.000,1.000,1.000,1.000
18,5120,32,32,1.000,1.000,1.000,1.000
19,5120,32,32,1.000,1.000,1.000,1.000
